estID,est_name,full_ecosystem_type_name,efz_ha,Cumulative Pressure Level,pressure_2025_flow_modification,pressure_artificial_breaching,pressure_2018_Flow_modification,pressure_2025_pollution,pressure_2018_Pollution,pressure_2025_habitat_loss,pressure_2025_fishing_effort_DEFF,pressure_2018_fishing_effort_DEFF,pressure_2011_fishing_effort_DEFF,pressure_invasive_alien_plants,Pressure_alien_fish,OUTLET_IDw,NAME,LONGdd,LATdd,EcoType_na,RLE_NBA18,PL_NBA18,PES2018,type,zone,extent,RLE,EPL,RLE_EPL,realm,protection_level,threat_status
17,Schuster,1 Cool Temperate - Small Temporarily Closed,22.6,Low,Medium,,Medium,Low,Low,Low,Low,Low,Low,,,40,Schuster,18.37090697,-34.20204497,Cool Temperate Small Temporarily Closed,Endangered,Well,B,Cool Temperate Small Temporarily Closed,CTemp,5.17640367488,VU,MP,VU_MP,est,Moderately Protected,Vulnerable
18,Krom,1 Cool Temperate - Small Temporarily Closed,100.5,Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,41,Krom,18.378401,-34.23094194,Cool Temperate Small Temporarily Closed,Endangered,Well,A/B,Cool Temperate Small Temporarily Closed,CTemp,5.17640367488,VU,MP,VU_MP,est,Moderately Protected,Vulnerable
19,Silwermyn,1 Cool Temperate - Large Temporarily Closed,15.8,Very high,High,Very high,High,High,High,High,Low,Low,Low,,High,46,Silwermyn,18.43892297,-34.13276297,Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,E,Cool Temperate Large Temporarily Closed,CTemp,32.839120096,EN,PP,EN_PP,est,Poorly Protected,Endangered
20,Zand,1 Cool Temperate - Large Temporarily Closed,381.8,High,Low,Very high,Low,Very high,Very high,Very high,Medium,Medium,Medium,Medium,Very high,47,Zand,18.4765,-34.10638397,Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,D,Cool Temperate Large Temporarily Closed,CTemp,32.839120096,EN,PP,EN_PP,est,Poorly Protected,Endangered
21,Zeekoei,1 Cool Temperate - Estuarine Lake,405.5,Very high,High,Very high,High,Very high,Very high,Very high,Low,Low,Low,High,Very high,48,Zeekoei,18.50493397,-34.09841897,Cool Temperate Estuarine Lake,Endangered,Poorly,E,Cool Temperate Estuarine Lake,CTemp,70.930767172,EN,PP,EN_PP,est,Poorly Protected,Endangered
22,Eerste,1 Cool Temperate - Large Temporarily Closed,277.4,Very high,Very high,Medium,Very high,Very high,Very high,Very high,Low,Low,Low,High,High,49,Eerste,18.753723,-34.07882697,Cool Temperate Large Temporarily Closed,Critically Endangered,Poorly,E,Cool Temperate Large Temporarily Closed,CTemp,32.839120096,EN,PP,EN_PP,est,Poorly Protected,Endangered
23,Lourens,1 Cool Temperate - Small Temporarily Closed,266.5,High,Low,Low,Low,Very high,Very high,Very high,Low,Low,Low,High,Very high,50,Lourens,18.81084297,-34.100052,Cool Temperate Small Temporarily Closed,Endangered,Well,D,Cool Temperate Small Temporarily Closed,CTemp,5.17640367488,VU,MP,VU_MP,est,Moderately Protected,Vulnerable
24,Sir Lowry’s Pass,1 Cool Temperate - Small Temporarily Closed,4.1,Very high,Medium,,Medium,Very high,Very high,Very high,Low,Low,Low,Medium,,52,Sir Lowry’s Pass,18.864895,-34.15556,Cool Temperate Small Temporarily Closed,Endangered,Well,E,Cool Temperate Small Temporarily Closed,CTemp,5.17640367488,VU,MP,VU_MP,est,Moderately Protected,Vulnerable
25,Steenbras,1 Cool Temperate - Small Fluvially Dominated,4,Low,Very high,,Very high,Low,Low,Low,Low,Low,Low,Medium,Low,53,Steenbras,18.819412,-34.19481889,Cool Temperate Small Fluvially Dominated,Least Concern,Well,B,Cool Temperate Small Fluvially Dominated,CTemp,0.039565514447,VU,WP,VU_WP,est,Well Protected,Vulnerable
26,Rooiels,1 Cool Temperate - Small Temporarily Closed,21.6,Low,Low,,Low,Low,Low,Low,Low,Low,Low,Medium,,54,Rooiels,18.821045,-34.29577389,Cool Temperate Small Temporarily Closed,Endangered,Well,A,Cool Temperate Small Temporarily Closed,CTemp,5.17640367488,VU,MP,VU_MP,est,Moderately Protected,Vulnerable
