"","Estuary name","Estuary type","Estuary functional type","Protection level","Threat status","Condition","Extent (ha)"
"233","uMbango","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Severely / critically modified ",36.7
"234","uMzimkhulu","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Moderately modified",402.9
"235","uMthente","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",102.5
"236","uMhlangomkhulu (North) (Mhlangamkulu)","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",27.9
"237","iDombe","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Heavily modified",27.1
"238","iKhoshwana","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",23.1
"239","iNjambili","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",67.4
"240","uMzumbe","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",291.2
"241","uMhlabashana","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Near-natural",32.5
"242","uMhlungwa","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",43.8
"243","uMfazezala","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",20.9
"244","uMakhosi","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",19
"245","uMnamfu","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",18.1
"246","uMthwalume","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",185.6
"247","uMvuzi","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",36.7
"248","iFafa","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Heavily modified",111.2
"249","uMdesingane","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Heavily modified",25
"250","iSezela","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",72.7
"251","uMkhumbane","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",24.8
"252","iNkomba","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",1.1
"253","uMuziwezinto","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",105.3
"254","uMzimayi","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",26.6
"255","Rocky Bay","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Heavily modified",5.9
"256","uMphambanyoni","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",84.4
"257","aMahlongwa","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Moderately modified",98.1
"258","uMahlongwane","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",40.7
"259","uMkhomazi","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Moderately modified",331.9
"260","iNgane","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Heavily modified",34.6
"261","uMgababa","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",138
"262","uMsimbazi","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",193.7
"263","iLovu","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Heavily modified",425.4
"264","aManzanamtoti","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Severely / critically modified ",55.2
"265","aManzimtoti","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Severely / critically modified ",50.3
"266","iZimbokodo","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Severely / critically modified ",89.4
"267","iSiphingo","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Severely / critically modified ",704.4
"268","Durban Bay","Subtropical Estuarine Bay","Subtropical","Not Protected","Critically Endangered","Severely / critically modified ",2815.2
"269","uMngeni","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Severely / critically modified ",403.5
"270","uMhlanga","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Severely / critically modified ",150.8
"271","uMdloti","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Heavily modified",189.5
"272","uThongathi","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Severely / critically modified ",145.6
"273","uMhlali","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Heavily modified",200.9
"274","Bob’s Stream","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Heavily modified",8.9
"275","uSetheni","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Near-natural",10.2
"276","uMvoti","Subtropical Large Fluvially Dominated","Subtropical","Poorly Protected","Endangered","Heavily modified",288.7
"277","uMdlotane","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",79.9
"278","iNonoti","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",153.8
"279","iZinkwazi","Subtropical Large Temporarily Closed","Subtropical","Poorly Protected","Vulnerable","Moderately modified",300.1
"280","uThukela","Subtropical Large Fluvially Dominated","Subtropical","Poorly Protected","Endangered","Heavily modified",1261
"281","aMatigulu/iNyoni","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Moderately modified",1183.1
"282","iSiyaya","Subtropical Small Temporarily Closed","Subtropical","Moderately Protected","Vulnerable","Severely / critically modified ",88.4
"283","uMlalazi","Subtropical Predominantly Open","Subtropical","Poorly Protected","Vulnerable","Moderately modified",1851.7
"284","uMhlathuze","Subtropical Estuarine Lake","Subtropical","Moderately Protected","Endangered","Heavily modified",5642.3
"285","Richards Bay","Subtropical Estuarine Lake","Subtropical","Moderately Protected","Endangered","Severely / critically modified ",6365.1
"286","iNhlabane","Subtropical Estuarine Lake","Subtropical","Moderately Protected","Endangered","Severely / critically modified ",1875.7
"287","iMfolozi/uMsunduze","Subtropical Large Fluvially Dominated","Subtropical","Poorly Protected","Endangered","Heavily modified",7903.7
"288","St Lucia","Subtropical Estuarine Lake","Subtropical","Moderately Protected","Endangered","Heavily modified",67992.2
"289","uMgobezeleni","Tropical Estuarine Lake","Tropical","Moderately Protected","Vulnerable","Near-natural",829.3
"290","Kosi","Tropical Estuarine Lake","Tropical","Moderately Protected","Vulnerable","Near-natural",7337
