"","Estuary name","Estuary type","Estuary functional type","Protection level","Threat status","Condition","Extent (ha)"
"53","Noetsie","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",50.6
"54","Piesang","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",87.3
"55","Keurbooms","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",1623.8
"56","Matjies","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",12.1
"57","Sout (Oos)","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Natural",24.1
"58","Groot (Wes)","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",100
"59","Bloukrans","Warm Temperate Small Fluvially Dominated","Warm Temperate","Well Protected","Least Concern","Natural",15.3
"60","Lottering","Warm Temperate Small Fluvially Dominated","Warm Temperate","Well Protected","Least Concern","Natural",11.2
"61","Elandsbos","Warm Temperate Small Fluvially Dominated","Warm Temperate","Well Protected","Least Concern","Natural",22.1
"62","Storms","Warm Temperate Small Fluvially Dominated","Warm Temperate","Well Protected","Least Concern","Natural",12.4
"63","Elands","Warm Temperate Small Fluvially Dominated","Warm Temperate","Well Protected","Least Concern","Near-natural",31.1
"64","Groot (Oos)","Warm Temperate Small Fluvially Dominated","Warm Temperate","Well Protected","Least Concern","Natural",30.3
"65","Tsitsikamma","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",67.4
"66","Klipdrif (Oos)","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",66.8
"67","Slang","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",42.8
"68","Kromme","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",755.5
"69","Seekoei","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",322.4
"70","Kabeljous","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",311.9
"71","Gamtoos","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",2133.4
"72","Van Stadens","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",101.8
"73","Maitland","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",67.6
"74","Baakens","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Severely / critically modified ",13.5
"75","Papkuils","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Severely / critically modified ",80.4
"76","Swartkops","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",2861
"77","Coega (Ngqurha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Severely / critically modified ",443.5
"78","Sundays","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",824
"79","Boknes","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",47.5
"80","Bushmans","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",888.8
"81","Kariega","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",559
"82","Grant's","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",16.3
"83","Kasouga","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",247.6
"84","Kowie","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",484.9
"85","Rufane","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",24.7
"86","Riet","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",40.3
"87","West Kleinemonde","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",224.2
"88","East Kleinemonde","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",100.9
"89","Great Fish","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",519.9
"90","Old Woman’s","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",23.3
"91","Mpekweni","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",83.1
"92","Mtati (Mthathi)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",142.1
"93","Mgwalana","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",216.9
"94","Bira (Bhirha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",270.6
"95","Gqutywa","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",105.4
"96","Ngculura (Ngculurha)","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",36.6
"97","Mtana","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",81.2
"98","Keiskamma","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",1402
"99","Nqinisa","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Natural",54.3
"100","Kiwane (Khiwane)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Natural",87
"101","Tyolomnqa","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",207.6
"102","Shelbertsstroom","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",15
"103","Lilyvale","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",33.7
"104","Ross' Creek","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",13
"105","Ncera (Ncerha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",77.9
"106","Mlele","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",20.2
"107","Mcantsi","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",31.8
"108","Gxulu","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",106.6
"109","Goda","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",51.9
"110","Hlozi","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",40.9
"111","Hickman's","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Moderately modified",25.9
"112","Buffalo","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Heavily modified",137.5
"113","Blind","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Heavily modified",14.3
"114","Hlaze (iHlanze)","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Heavily modified",7.9
"115","Nahoon","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Moderately modified",178.5
"116","Qinira (Quinirha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",110.7
"117","Gqunube","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",176.3
"118","Kwelera (Kwelerha)","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",121.6
"119","Bulura (Bulurha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",135.4
"120","Cunge","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",8.7
"121","Cintsa","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",122.6
"122","Cefane","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",176.5
"123","Kwenxura (Kwenxurha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Natural",126.1
"124","Nyara (Nyarha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",55.3
"125","Imtwendwe (Mtwendwe)","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Natural",15.9
"126","Haga-haga","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",25.5
"127","Mtendwe","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",17.1
"128","Quko","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Natural",102.1
"129","Morgan","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",83.5
"130","Cwili","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",14.7
"131","Great Kei","Warm Temperate Large Fluvially Dominated","Warm Temperate","Not Protected","Vulnerable","Moderately modified",572.6
"132","Gxara (Gxarha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",68.5
"133","Ngogwane","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",22.5
"134","Qolora (Qolorha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",69.3
"135","Ncizele","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Natural",22.9
"136","Timba","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",9.2
"137","Kobonqaba (Khobonqaba)","Warm Temperate Predominantly Open","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",115.1
"138","Nxaxo/Ngqusi","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",269.5
"139","Cebe","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Natural",82.1
"140","Gqunqe","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Natural",79.1
"141","Zalu","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",68.8
"142","Ngqwara (Ngqwarha)","Warm Temperate Large Temporarily Closed","Warm Temperate","Poorly Protected","Vulnerable","Near-natural",78.9
"143","Sihlontlweni","Warm Temperate Small Temporarily Closed","Warm Temperate","Moderately Protected","Least Concern","Near-natural",55.2
