"","EST_IDw","OUTLET_IDw","NAME","LONGdd","LATdd","EcoType_na","RLE_NBA18","PL_NBA18","PES2018","type","zone","extent","RLE","EPL","RLE_EPL","realm","protection_level","threat_status","est_name","full_ecosystem_type_name","efz_ha","2025_est_condition","2018_est_condition","2011_est_condition","condition","condition_100km_zones"
"18",18,41,"Krom",18.378401,-34.23094194,"Cool Temperate Small Temporarily Closed","Endangered","Well","A/B","Cool Temperate Small Temporarily Closed","CTemp",5.17640367488,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Krom","1 Cool Temperate - Small Temporarily Closed",100.5,90.9109755342589,92.4109755342589,93.8,"Natural",49.5784530387995
"19",19,46,"Silwermyn",18.43892297,-34.13276297,"Cool Temperate Large Temporarily Closed","Critically Endangered","Poorly","E","Cool Temperate Large Temporarily Closed","CTemp",32.839120096,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Silwermyn","1 Cool Temperate - Large Temporarily Closed",15.8,37.8899307405434,37.8899307405434,45.95,"Severely / critically modified ",40.704376471755
"20",20,47,"Zand",18.4765,-34.10638397,"Cool Temperate Large Temporarily Closed","Critically Endangered","Poorly","D","Cool Temperate Large Temporarily Closed","CTemp",32.839120096,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Zand","1 Cool Temperate - Large Temporarily Closed",381.8,44.4,44.4,46.6,"Heavily modified",40.704376471755
"21",21,48,"Zeekoei",18.50493397,-34.09841897,"Cool Temperate Estuarine Lake","Endangered","Poorly","E","Cool Temperate Estuarine Lake","CTemp",70.930767172,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Zeekoei","1 Cool Temperate - Estuarine Lake",405.5,24,24,29.1,"Severely / critically modified ",40.704376471755
"22",22,49,"Eerste",18.753723,-34.07882697,"Cool Temperate Large Temporarily Closed","Critically Endangered","Poorly","E","Cool Temperate Large Temporarily Closed","CTemp",32.839120096,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Eerste","1 Cool Temperate - Large Temporarily Closed",277.4,33.075,33.075,32.575,"Severely / critically modified ",40.704376471755
"23",23,50,"Lourens",18.81084297,-34.100052,"Cool Temperate Small Temporarily Closed","Endangered","Well","D","Cool Temperate Small Temporarily Closed","CTemp",5.17640367488,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Lourens","1 Cool Temperate - Small Temporarily Closed",266.5,51.05,50.975,64.15,"Heavily modified",40.704376471755
"24",24,52,"Sir Lowry’s Pass",18.864895,-34.15556,"Cool Temperate Small Temporarily Closed","Endangered","Well","E","Cool Temperate Small Temporarily Closed","CTemp",5.17640367488,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Sir Lowry’s Pass","1 Cool Temperate - Small Temporarily Closed",4.1,37.85,37.85,35.65,"Severely / critically modified ",40.704376471755
"25",25,53,"Steenbras",18.819412,-34.19481889,"Cool Temperate Small Fluvially Dominated","Least Concern","Well","B","Cool Temperate Small Fluvially Dominated","CTemp",0.039565514447,"VU","WP","VU_WP","est","Well Protected","Vulnerable","Steenbras","1 Cool Temperate - Small Fluvially Dominated",4,81.925,83.925,82.2,"Near-natural",40.704376471755
"26",26,54,"Rooiels",18.821045,-34.29577389,"Cool Temperate Small Temporarily Closed","Endangered","Well","A","Cool Temperate Small Temporarily Closed","CTemp",5.17640367488,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Rooiels","1 Cool Temperate - Small Temporarily Closed",21.6,90.5986322352298,91.5986322352298,90,"Natural",40.704376471755
"27",27,55,"Buffels (Oos)",18.82953497,-34.33894694,"Cool Temperate Small Temporarily Closed","Endangered","Well","B","Cool Temperate Small Temporarily Closed","CTemp",5.17640367488,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Buffels (Oos)","1 Cool Temperate - Small Temporarily Closed",35.8,82.0630530973451,83.0630530973451,83.1,"Near-natural",40.704376471755
"28",28,56,"Palmiet",18.99414097,-34.34544,"Cool Temperate Large Temporarily Closed","Critically Endangered","Poorly","C","Cool Temperate Large Temporarily Closed","CTemp",32.839120096,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Palmiet","1 Cool Temperate - Large Temporarily Closed",44.2,65.525,67.725,67.725,"Moderately modified",67.6491350462843
"29",29,57,"Bot/Kleinmond",19.09713197,-34.368431,"Cool Temperate Estuarine Lake","Endangered","Poorly","C","Cool Temperate Estuarine Lake","CTemp",70.930767172,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Bot/Kleinmond","1 Cool Temperate - Estuarine Lake",2345.9,71.8,71.325,60.625,"Moderately modified",67.6491350462843
"30",30,58,"Onrus",19.178692,-34.418652,"Cool Temperate Small Temporarily Closed","Endangered","Well","D","Cool Temperate Small Temporarily Closed","CTemp",5.17640367488,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Onrus","1 Cool Temperate - Small Temporarily Closed",30.8,56.5,56.5,38.55,"Heavily modified",67.6491350462843
"31",31,60,"Klein",19.29815897,-34.42065389,"Cool Temperate Estuarine Lake","Endangered","Poorly","C","Cool Temperate Estuarine Lake","CTemp",70.930767172,"EN","PP","EN_PP","est","Poorly Protected","Endangered","Klein","1 Cool Temperate - Estuarine Lake",2065.5,63.4,64.425,69.625,"Moderately modified",67.6491350462843
"32",32,61,"Uilkraals",19.40763497,-34.60754889,"Cool Temperate Predominantly Open","Endangered","Not Protected","D","Cool Temperate Predominantly Open","CTemp",152.598212237,"EN","NP","EN_NP","est","Not Protected","Endangered","Uilkraals","1 Cool Temperate - Predominantly Open",747.7,52.1,54.075,54.75,"Heavily modified",51.114156850053
"33",33,63,"Ratel",19.746506,-34.77101889,"Cool Temperate Small Temporarily Closed","Endangered","Well","B","Cool Temperate Small Temporarily Closed","CTemp",5.17640367488,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Ratel","1 Cool Temperate - Small Temporarily Closed",35.9,85.225,86.225,71.475,"Near-natural",51.114156850053
"34",34,65,"Heuningnes",20.119246,-34.71479,"Warm Temperate Estuarine Lake","Endangered","Moderately","C/D","Warm Temperate Estuarine Lake","WTemp",143.423569509,"EN","MP","EN_MP","est","Moderately Protected","Endangered","Heuningnes","2 Warm Temperate - Estuarine Lake",10993.7,59.4487675608405,59.7237675608405,59.025,"Heavily modified",59.9701570403848
"35",35,66,"Klipdrifsfontein",20.73133197,-34.451906,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Klipdrifsfontein","2 Warm Temperate - Small Temporarily Closed",6.7,93.4588235294118,97.6838235294118,96.175,"Natural",59.9701570403848
"36",36,68,"Breede",20.84533197,-34.40743389,"Warm Temperate Predominantly Open","Vulnerable","Poorly","B/C","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Breede","2 Warm Temperate - Predominantly Open",2257.6,79.375,81,78,"Near-natural",76.8856133052417
"37",37,69,"Duiwenhoks",21.001182,-34.36502972,"Warm Temperate Predominantly Open","Vulnerable","Poorly","C","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Duiwenhoks","2 Warm Temperate - Predominantly Open",441.4,72.075,72.1,81.725,"Moderately modified",76.8856133052417
"38",38,70,"Goukou",21.423527,-34.37835194,"Warm Temperate Predominantly Open","Vulnerable","Poorly","C","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Goukou","2 Warm Temperate - Predominantly Open",438.7,69.425,69.425,71.1,"Moderately modified",76.8856133052417
"39",39,71,"Gouritz",21.885904,-34.34534083,"Warm Temperate Predominantly Open","Vulnerable","Poorly","C/D","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Gouritz","2 Warm Temperate - Predominantly Open",1099.7,60.525,60.975,71,"Moderately modified",59.3333629297127
"40",40,72,"Blinde",22.012947,-34.21085,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B/C","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Blinde","2 Warm Temperate - Small Temporarily Closed",19.9,66.55,69.05,76.85,"Moderately modified",59.3333629297127
"41",41,73,"Tweekuilen",22.11169722,-34.15153056,"Warm Temperate Small Temporarily Closed","Least Concern","Well","D/E","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Tweekuilen","2 Warm Temperate - Small Temporarily Closed",23.2,38.8,38.8,39,"Severely / critically modified ",59.3333629297127
"42",42,74,"Gericke",22.11041667,-34.14398611,"Warm Temperate Small Temporarily Closed","Least Concern","Well","D/E","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Gericke","2 Warm Temperate - Small Temporarily Closed",8.7,38.85,38.85,39,"Severely / critically modified ",59.3333629297127
"43",43,75,"Hartenbos",22.125782,-34.115112,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","D","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Hartenbos","2 Warm Temperate - Large Temporarily Closed",306.1,42.5193214106636,50.8193214106635,40.9,"Heavily modified",59.3333629297127
"44",44,76,"Klein Brak",22.148586,-34.09293,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","C","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Klein Brak","2 Warm Temperate - Large Temporarily Closed",1021.7,60,60.5,71.75,"Heavily modified",59.3333629297127
"45",45,77,"Groot Brak",22.23929197,-34.057254,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","D","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Groot Brak","2 Warm Temperate - Large Temporarily Closed",318.1,57.825,57.825,58,"Heavily modified",76.5471297912116
"46",46,79,"Maalgate",22.35443897,-34.05438997,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Maalgate","2 Warm Temperate - Large Temporarily Closed",34.4,76.3231376985804,78.3231376985804,86.125,"Near-natural",76.5471297912116
"47",47,80,"Gwaing",22.434139,-34.05646897,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B/C","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Gwaing","2 Warm Temperate - Small Temporarily Closed",21.8,72.1427809316897,72.1427809316897,77,"Moderately modified",76.5471297912116
"48",48,84,"Kaaimans",22.55705597,-33.99781389,"Warm Temperate Predominantly Open","Vulnerable","Poorly","B","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Kaaimans","2 Warm Temperate - Predominantly Open",40.6,80.2534422015129,81.7534422015129,83.5,"Near-natural",76.5471297912116
"49",49,85,"Touw/Wilderness",22.58112697,-33.99575778,"Warm Temperate Estuarine Lake","Endangered","Moderately","B/C","Warm Temperate Estuarine Lake","WTemp",143.423569509,"EN","MP","EN_MP","est","Moderately Protected","Endangered","Touw/Wilderness","2 Warm Temperate - Estuarine Lake",1180.4,71.3,73.075,75.8,"Moderately modified",76.5471297912116
"50",50,86,"Swartvlei",22.79625597,-34.031516,"Warm Temperate Estuarine Lake","Endangered","Moderately","B/C","Warm Temperate Estuarine Lake","WTemp",143.423569509,"EN","MP","EN_MP","est","Moderately Protected","Endangered","Swartvlei","2 Warm Temperate - Estuarine Lake",2168.2,76.6,77.85,78,"Near-natural",76.5471297912116
"51",51,87,"Goukamma",22.94913497,-34.07716097,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","A/B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Goukamma","2 Warm Temperate - Large Temporarily Closed",299.2,86.225,87.225,88,"Near-natural",76.5471297912116
"52",52,88,"Knysna",23.061453,-34.082706,"Warm Temperate Estuarine Bay","Vulnerable","Moderately","B/C","Warm Temperate Estuarine Bay","WTemp",30.1056471284,"VU","MP","VU_MP","est","Moderately Protected","Vulnerable","Knysna","2 Warm Temperate - Estuarine Bay",3010.6,78.025,78,78,"Near-natural",76.5471297912116
