"","EST_IDw","OUTLET_IDw","NAME","LONGdd","LATdd","EcoType_na","RLE_NBA18","PL_NBA18","PES2018","type","zone","extent","RLE","EPL","RLE_EPL","realm","protection_level","threat_status","est_name","full_ecosystem_type_name","efz_ha","2025_est_condition","2018_est_condition","2011_est_condition","condition","condition_100km_zones"
"76",76,129,"Swartkops",25.63304497,-33.86624472,"Warm Temperate Predominantly Open","Vulnerable","Poorly","D","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Swartkops","2 Warm Temperate - Predominantly Open",2861,46.925,52.9924629678953,61.7,"Heavily modified",46.5830566251599
"77",77,130,"Coega (Ngqurha)",25.690739,-33.79538,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","E","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Coega (Ngqurha)","2 Warm Temperate - Large Temporarily Closed",443.5,22.226962962963,23.856962962963,17.375,"Severely / critically modified ",46.5830566251599
"78",78,131,"Sundays",25.853725,-33.72183583,"Warm Temperate Predominantly Open","Vulnerable","Poorly","C","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Sundays","2 Warm Temperate - Predominantly Open",824,62.05,66.175,66.175,"Moderately modified",46.5830566251599
"79",79,132,"Boknes",26.586261,-33.72717278,"Warm Temperate Small Temporarily Closed","Least Concern","Well","C","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Boknes","2 Warm Temperate - Small Temporarily Closed",47.5,66.6500692520776,69.6250692520776,72,"Moderately modified",73.3089072304155
"80",80,133,"Bushmans",26.663622,-33.69491583,"Warm Temperate Predominantly Open","Vulnerable","Poorly","B/C","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Bushmans","2 Warm Temperate - Predominantly Open",888.8,72.025,77.95,74.25,"Moderately modified",73.3089072304155
"81",81,134,"Kariega",26.686399,-33.68277083,"Warm Temperate Predominantly Open","Vulnerable","Poorly","C","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Kariega","2 Warm Temperate - Predominantly Open",559,67.5875,68.7125864453665,71.025,"Moderately modified",73.3089072304155
"82",82,135,"Grant's",26.70302,-33.66955889,"Warm Temperate Small Temporarily Closed","Least Concern","Well","C","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Grant's","2 Warm Temperate - Small Temporarily Closed",16.3,67.445,67.695,67,"Moderately modified",73.3089072304155
"83",83,136,"Kasouga",26.735298,-33.65409472,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Kasouga","2 Warm Temperate - Large Temporarily Closed",247.6,84.37,87.75,84.225,"Near-natural",73.3089072304155
"84",84,138,"Kowie",26.901634,-33.60362583,"Warm Temperate Predominantly Open","Vulnerable","Poorly","C","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Kowie","2 Warm Temperate - Predominantly Open",484.9,68.7401458814392,71.3061077886355,70.35,"Moderately modified",73.3089072304155
"85",85,139,"Rufane",26.935827,-33.58083194,"Warm Temperate Small Temporarily Closed","Least Concern","Well","C","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Rufane","2 Warm Temperate - Small Temporarily Closed",24.7,67.77,69.4,60.75,"Moderately modified",73.3089072304155
"86",86,140,"Riet",27.01385197,-33.56120278,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Riet","2 Warm Temperate - Small Temporarily Closed",40.3,85.975,87.85,87,"Near-natural",73.3089072304155
"87",87,141,"West Kleinemonde",27.04615197,-33.54134583,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","West Kleinemonde","2 Warm Temperate - Large Temporarily Closed",224.2,84.9999091515253,87.1299091515253,85.5,"Near-natural",73.3089072304155
"88",88,142,"East Kleinemonde",27.04932497,-33.53902583,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","East Kleinemonde","2 Warm Temperate - Large Temporarily Closed",100.9,85.525,86.5,87,"Near-natural",73.3089072304155
"89",89,144,"Great Fish",27.140684,-33.49522778,"Warm Temperate Predominantly Open","Vulnerable","Poorly","C","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Great Fish","2 Warm Temperate - Predominantly Open",519.9,71.15,70.7,73.8,"Moderately modified",74.5466017575052
"90",90,145,"Old Woman’s",27.14807,-33.48277083,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","C","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Old Woman’s","2 Warm Temperate - Large Temporarily Closed",23.3,74.0744150692072,66.3744150692072,74.1,"Moderately modified",74.5466017575052
"91",91,147,"Mpekweni",27.231176,-33.43801194,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mpekweni","2 Warm Temperate - Large Temporarily Closed",83.1,79.3722101133392,80.3722101133392,79.9,"Near-natural",74.5466017575052
"92",92,148,"Mtati (Mthathi)",27.25907197,-33.42287778,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mtati (Mthathi)","2 Warm Temperate - Large Temporarily Closed",142.1,81.6094974290927,82.8594974290927,85.1,"Near-natural",74.5466017575052
"93",93,149,"Mgwalana",27.274214,-33.41302389,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Mgwalana","2 Warm Temperate - Large Temporarily Closed",216.9,81.4388416100007,82.6888416100007,85.1,"Near-natural",74.5466017575052
"94",94,150,"Bira (Bhirha)",27.326031,-33.38376,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Bira (Bhirha)","2 Warm Temperate - Large Temporarily Closed",270.6,81.1585929041393,83.5335929041393,89.575,"Near-natural",74.5466017575052
"95",95,151,"Gqutywa",27.358079,-33.3625,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Gqutywa","2 Warm Temperate - Large Temporarily Closed",105.4,82.3062154443265,84.6812154443265,84,"Near-natural",74.5466017575052
"96",96,152,"Ngculura (Ngculurha)",27.367916,-33.35807694,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Ngculura (Ngculurha)","2 Warm Temperate - Small Temporarily Closed",36.6,78.4598846274842,79.7098846274842,81.525,"Near-natural",74.5466017575052
"97",97,155,"Mtana",27.432165,-33.31860497,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Mtana","2 Warm Temperate - Small Temporarily Closed",81.2,86.2832706766917,87.5332706766917,83.825,"Near-natural",74.5466017575052
"98",98,156,"Keiskamma",27.491233,-33.28148,"Warm Temperate Predominantly Open","Vulnerable","Poorly","B/C","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Keiskamma","2 Warm Temperate - Predominantly Open",1402,66.83045142464,75.925,75,"Moderately modified",74.5466017575052
"99",99,158,"Nqinisa",27.527936,-33.25273897,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Nqinisa","2 Warm Temperate - Small Temporarily Closed",54.3,90.575,91.825,86.65,"Natural",74.5466017575052
"100",100,159,"Kiwane (Khiwane)",27.543167,-33.24830194,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","A/B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Kiwane (Khiwane)","2 Warm Temperate - Large Temporarily Closed",87,90.5461263608658,91.7961263608658,89.5,"Natural",74.5466017575052
"101",101,160,"Tyolomnqa",27.583421,-33.22577194,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Tyolomnqa","2 Warm Temperate - Large Temporarily Closed",207.6,84.2848089300284,87.724613853289,83.25,"Near-natural",74.5466017575052
"102",102,161,"Shelbertsstroom",27.61566397,-33.20709083,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B/C","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Shelbertsstroom","2 Warm Temperate - Small Temporarily Closed",15,77.42,77.325,74.5,"Near-natural",74.5466017575052
"103",103,162,"Lilyvale",27.63690897,-33.19285278,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Lilyvale","2 Warm Temperate - Small Temporarily Closed",33.7,79.3116546112116,81.0916546112116,75.275,"Near-natural",74.5466017575052
"104",104,163,"Ross' Creek",27.657672,-33.17675694,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Ross' Creek","2 Warm Temperate - Small Temporarily Closed",13,85.795,88.475,80.45,"Near-natural",74.5466017575052
"105",105,164,"Ncera (Ncerha)",27.668206,-33.17011583,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Ncera (Ncerha)","2 Warm Temperate - Large Temporarily Closed",77.9,85.9987757104342,86.6237757104342,83.825,"Near-natural",74.5466017575052
"106",106,165,"Mlele",27.67996197,-33.15971194,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Mlele","2 Warm Temperate - Small Temporarily Closed",20.2,77.6604181582274,80.0654181582274,77.65,"Near-natural",74.5466017575052
"107",107,166,"Mcantsi",27.701977,-33.14550889,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Mcantsi","2 Warm Temperate - Small Temporarily Closed",31.8,68.2124807392114,82.0124807392114,74.95,"Moderately modified",74.5466017575052
"108",108,167,"Gxulu",27.73149097,-33.11890497,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B/C","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Gxulu","2 Warm Temperate - Large Temporarily Closed",106.6,73.6595708532302,76.2895708532302,80.15,"Moderately modified",74.5466017575052
"109",109,168,"Goda",27.775033,-33.10108997,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Goda","2 Warm Temperate - Large Temporarily Closed",51.9,84.0775095276591,85.9825095276591,86.125,"Near-natural",74.5466017575052
"110",110,169,"Hlozi",27.811883,-33.08559697,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Hlozi","2 Warm Temperate - Small Temporarily Closed",40.9,84.7512993703492,84.4312993703492,83.375,"Near-natural",74.5466017575052
"111",111,170,"Hickman's",27.83968797,-33.07082889,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Hickman's","2 Warm Temperate - Small Temporarily Closed",25.9,66.9,83.9744208816199,84.7,"Moderately modified",74.5466017575052
"112",112,173,"Buffalo",27.916318,-33.02679889,"Warm Temperate Predominantly Open","Vulnerable","Poorly","D","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Buffalo","2 Warm Temperate - Predominantly Open",137.5,40.1,48.625,59.05,"Heavily modified",76.9946488948117
"113",113,174,"Blind",27.92769397,-33.00694444,"Warm Temperate Small Temporarily Closed","Least Concern","Well","D","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Blind","2 Warm Temperate - Small Temporarily Closed",14.3,53.6,56.4,66.8,"Heavily modified",76.9946488948117
"114",114,175,"Hlaze (iHlanze)",27.949356,-32.98923083,"Warm Temperate Small Temporarily Closed","Least Concern","Well","C/D","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Hlaze (iHlanze)","2 Warm Temperate - Small Temporarily Closed",7.9,51.65,59.6,74.75,"Heavily modified",76.9946488948117
"115",115,176,"Nahoon",27.951704,-32.98643778,"Warm Temperate Predominantly Open","Vulnerable","Poorly","C","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Nahoon","2 Warm Temperate - Predominantly Open",178.5,60.27040875,70.125,66.625,"Moderately modified",76.9946488948117
"116",116,177,"Qinira (Quinirha)",27.96483297,-32.97420278,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B/C","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Qinira (Quinirha)","2 Warm Temperate - Large Temporarily Closed",110.7,78.5420517833867,77.525462140064,76.45,"Near-natural",76.9946488948117
"117",117,178,"Gqunube",28.034899,-32.93387597,"Warm Temperate Predominantly Open","Vulnerable","Poorly","B","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Gqunube","2 Warm Temperate - Predominantly Open",176.3,77.8951246482334,82.2041495778801,78.25,"Near-natural",76.9946488948117
"118",118,180,"Kwelera (Kwelerha)",28.077002,-32.90735972,"Warm Temperate Predominantly Open","Vulnerable","Poorly","B","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Kwelera (Kwelerha)","2 Warm Temperate - Predominantly Open",121.6,83.3847166202561,84.1347166202561,84.375,"Near-natural",76.9946488948117
"119",119,181,"Bulura (Bulurha)",28.093391,-32.89133472,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Bulura (Bulurha)","2 Warm Temperate - Large Temporarily Closed",135.4,84.8435672021384,83.8685672021384,80.975,"Near-natural",76.9946488948117
"120",120,183,"Cunge",28.11042397,-32.86087694,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Cunge","2 Warm Temperate - Small Temporarily Closed",8.7,89.15,90.4,90.125,"Near-natural",76.9946488948117
"121",121,184,"Cintsa",28.117044,-32.83143194,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Cintsa","2 Warm Temperate - Large Temporarily Closed",122.6,79.6883116232465,80.6883116232465,71.475,"Near-natural",76.9946488948117
"122",122,185,"Cefane",28.137098,-32.80946389,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Cefane","2 Warm Temperate - Large Temporarily Closed",176.5,85.3367405063291,86.3367405063291,86.8,"Near-natural",76.9946488948117
"123",123,186,"Kwenxura (Kwenxurha)",28.151588,-32.79877472,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","A/B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Kwenxura (Kwenxurha)","2 Warm Temperate - Large Temporarily Closed",126.1,89.9845002465191,91.4845002465191,89.5,"Natural",76.9946488948117
"124",124,187,"Nyara (Nyarha)",28.18201697,-32.78522997,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","A/B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Nyara (Nyarha)","2 Warm Temperate - Large Temporarily Closed",55.3,88.8609848179304,91.2359848179304,91.225,"Near-natural",76.9946488948117
"125",125,189,"Imtwendwe (Mtwendwe)",28.23697597,-32.77003694,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Imtwendwe (Mtwendwe)","2 Warm Temperate - Small Temporarily Closed",15.9,90.1189431171031,91.3689431171031,87.375,"Natural",76.9946488948117
"126",126,190,"Haga-haga",28.25318497,-32.76191694,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Haga-haga","2 Warm Temperate - Small Temporarily Closed",25.5,87.883457183152,89.133457183152,84.5,"Near-natural",76.9946488948117
"127",127,192,"Mtendwe",28.285847,-32.74078778,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Mtendwe","2 Warm Temperate - Small Temporarily Closed",17.1,88.8016922692644,91.7766922692644,84.375,"Near-natural",76.9946488948117
"128",128,194,"Quko",28.30953797,-32.72563972,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","A","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Quko","2 Warm Temperate - Large Temporarily Closed",102.1,90.8757566568478,93.6257566568478,90.375,"Natural",76.9946488948117
"129",129,195,"Morgan",28.34404697,-32.70859694,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Morgan","2 Warm Temperate - Large Temporarily Closed",83.5,82.5534656258817,81.3034656258817,73.7,"Near-natural",76.9946488948117
"130",130,196,"Cwili",28.37373697,-32.69089278,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Cwili","2 Warm Temperate - Small Temporarily Closed",14.7,86.1528522920204,87.5278522920204,83.45,"Near-natural",76.9946488948117
"131",131,197,"Great Kei",28.385964,-32.67988694,"Warm Temperate Large Fluvially Dominated","Vulnerable","Poorly","C","Warm Temperate Large Fluvially Dominated","WTemp",5.72582112925,"VU","NP","VU_NP","est","Not Protected","Vulnerable","Great Kei","2 Warm Temperate - Large Fluvially Dominated",572.6,68.2083333333333,72.8613006645051,69.625,"Moderately modified",76.9946488948117
"132",132,198,"Gxara (Gxarha)",28.39912997,-32.66615778,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","A/B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Gxara (Gxarha)","2 Warm Temperate - Large Temporarily Closed",68.5,89.1351045296167,88.6601045296167,87.1,"Near-natural",76.9946488948117
"133",133,200,"Ngogwane",28.42164167,-32.64869722,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Ngogwane","2 Warm Temperate - Small Temporarily Closed",22.5,85.6281297709924,85.1531297709924,84.1,"Near-natural",76.9946488948117
"134",134,201,"Qolora (Qolorha)",28.43494167,-32.62991667,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Qolora (Qolorha)","2 Warm Temperate - Large Temporarily Closed",69.3,87.9324571725506,86.9574571725506,86.55,"Near-natural",76.9946488948117
"135",135,202,"Ncizele",28.43796667,-32.62847222,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Ncizele","2 Warm Temperate - Small Temporarily Closed",22.9,91.5876435732409,91.6126435732409,87.1,"Natural",76.9946488948117
"136",136,203,"Timba",28.44587778,-32.62545833,"Warm Temperate Small Temporarily Closed","Least Concern","Well","B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Timba","2 Warm Temperate - Small Temporarily Closed",9.2,84.6733909895414,86.4233909895414,90.125,"Near-natural",76.9946488948117
"137",137,205,"Kobonqaba (Khobonqaba)",28.490359,-32.60783583,"Warm Temperate Predominantly Open","Vulnerable","Poorly","B","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Kobonqaba (Khobonqaba)","2 Warm Temperate - Predominantly Open",115.1,85.4446826324056,86.8696826324056,86.625,"Near-natural",76.9946488948117
"138",138,206,"Nxaxo/Ngqusi",28.52625897,-32.58473097,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Nxaxo/Ngqusi","2 Warm Temperate - Large Temporarily Closed",269.5,82.1419770258442,84.6169770258442,82.025,"Near-natural",76.9946488948117
"139",139,208,"Cebe",28.585827,-32.52118694,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","A/B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Cebe","2 Warm Temperate - Large Temporarily Closed",82.1,90.1151126891016,92.8651126891016,88.35,"Natural",84.1584235557636
"140",140,209,"Gqunqe",28.589511,-32.518801,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","A/B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Gqunqe","2 Warm Temperate - Large Temporarily Closed",79.1,90.0616284344493,92.8116284344493,92.125,"Natural",84.1584235557636
"141",141,210,"Zalu",28.603127,-32.50264397,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Zalu","2 Warm Temperate - Small Temporarily Closed",68.8,87.5328402366864,89.2828402366864,91,"Near-natural",84.1584235557636
"142",142,211,"Ngqwara (Ngqwarha)",28.614056,-32.494205,"Warm Temperate Large Temporarily Closed","Vulnerable","Moderately","A/B","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Ngqwara (Ngqwarha)","2 Warm Temperate - Large Temporarily Closed",78.9,88.6744871392433,90.9244871392433,91,"Near-natural",84.1584235557636
"143",143,212,"Sihlontlweni",28.64482297,-32.48137694,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Sihlontlweni","2 Warm Temperate - Small Temporarily Closed",55.2,89.4483594842298,91.6983594842298,89.5,"Near-natural",84.1584235557636
"144",144,213,"Nebelele",28.65593,-32.46265972,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Nebelele","2 Warm Temperate - Small Temporarily Closed",29.8,89.1987146270063,90.5487146270063,93.475,"Near-natural",84.1584235557636
"145",145,214,"Qora (Qhorha)",28.673465,-32.44637,"Warm Temperate Predominantly Open","Vulnerable","Poorly","A/B","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Qora (Qhorha)","2 Warm Temperate - Predominantly Open",133.9,84.8651370766752,89.5901370766752,88.225,"Near-natural",84.1584235557636
"146",146,216,"Jujura (Jujurha)",28.693961,-32.4311,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Jujura (Jujurha)","2 Warm Temperate - Small Temporarily Closed",30.3,85.9179972622533,88.2679972622533,88.875,"Near-natural",84.1584235557636
"147",147,217,"Ngadla",28.70868097,-32.41834997,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Ngadla","2 Warm Temperate - Small Temporarily Closed",40.7,89.7828498074454,91.5328498074454,90.125,"Near-natural",84.1584235557636
"148",148,219,"Shixini",28.72551297,-32.40310083,"Warm Temperate Predominantly Open","Vulnerable","Poorly","A/B","Warm Temperate Predominantly Open","WTemp",176.692482939,"VU","PP","VU_PP","est","Poorly Protected","Vulnerable","Shixini","2 Warm Temperate - Predominantly Open",116.4,90.3457879917122,92.3457879917122,89.375,"Natural",84.1584235557636
"149",149,220,"Beechamwood",28.752079,-32.37485889,"Warm Temperate Small Temporarily Closed","Least Concern","Well","A/B","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742,"LC","MP","LC_MP","est","Moderately Protected","Least Concern","Beechamwood","2 Warm Temperate - Small Temporarily Closed",20.1,87.7083333333333,91.2083333333333,98.175,"Near-natural",84.1584235557636
