"zone","Natural","Near-natural","Moderately modified","Heavily modified","Severely modified","Critically modified","metric"
"Depression",22,22,21,21,20,19,"count"
"Floodplain",19,19,19,18,18,15,"count"
"Seep",21,19,20,18,18,17,"count"
"Unchannelled valley-bottom",20,20,19,18,18,13,"count"
"Depression",4558211.93178028,68093121.799681,8704845.74412289,4572858.02793108,2120895.79896673,4263931.54567383,"extent"
"Floodplain",7460119.09245602,10368372.5962946,15539632.9823807,7976888.96014022,7609380.32729177,924305.165230274,"extent"
"Seep",14149243.769895,5768412.75456424,8965628.49252503,6488640.231215,10237060.0080686,2761869.47424552,"extent"
"Unchannelled valley-bottom",527897.519945392,487471.074680968,678628.892008303,357542.781664855,337312.795760356,73198.0995930613,"extent"
