"zone","Critically Endangered","Endangered","Vulnerable","Least Concern","metric"
"Lower foothill",11,9,12,26,"count"
"Lowland river",19,9,12,9,"count"
"Mountain stream",6,15,13,22,"count"
"Upper foothill",13,11,15,20,"count"
"Lower foothill",10269.1835630207,3198.57001780097,14559.0167330335,47100.3553750693,"extent"
"Lowland river",10642.7633083644,2347.97412412374,1883.88483860473,6127.93833440849,"extent"
"Mountain stream",640.346010875858,2351.90036434496,1112.95440910634,2716.01173188308,"extent"
"Upper foothill",16833.0271705544,7616.21631182661,11854.5881245356,40269.0079271499,"extent"
