Realm,Sub-realm,WP,MP,PP,NP,Total
Coastal Terrestrial,Total,17.9,15.7,51.7,14.7,100
Coastal Terrestrial,Semi-coastal vegetation,31.8,19.5,41,7.6,100
Coastal Terrestrial,Coastal vegetation,9.1,13.3,58.5,19.2,100
Estuarine,Total,0.1,59,31.6,9.3,100
Coastal Marine,Total,1.1,20.5,47.8,30.6,100
Coastal Marine,Shore,18.9,40.7,40.2,0.2,100
Coastal Marine,Inner shelf and river influenced,0.7,20.1,48,31.2,100
Coastal (overall),Total,6.6,19.9,48.7,24.8,100
Non-coastal,Total,4.8,7.7,48.7,38.9,100
