Realm,Sub-realm,Thr,CR,EN,VU,NT,LC,Total
Coastal Terrestrial,Total,68.7,41,26.5,1.2,0,31.3,100
Coastal Terrestrial,Semi-coastal vegetation,77.8,44.4,33.3,0,0,22.2,100
Coastal Terrestrial,Coastal vegetation,61.7,38.3,21.3,2.1,0,38.3,100
Estuarine,Total,90.9,4.5,40.9,45.5,0,9.1,100
Coastal Marine,Total,67.1,5.9,29.4,31.8,12.9,20,100
Coastal Marine,Shore,48.6,0,29.7,18.9,27,24.3,100
Coastal Marine,Inner shelf and river influenced,81.2,10.4,29.2,41.7,2.1,16.7,100
Coastal (overall),Total,70.5,21.1,29.5,20,5.8,23.7,100
Non-coastal,Total,22,6.5,11.5,3.9,1.7,76.3,100
