Well Protected,Moderately Protected,Poorly Protected,Not Protected,realm
133904.336692211,216171.78939589398,1371560.5083981112,1096616.8135493596,Non-coastal
5224.116053649814,15745.506758459016,38543.229776634216,19636.637394869427,Coastal
