mapcode,ecotype,zone,extent,ets,epl,realm,threatened,rlm
FS2,Saldanha Granite Strandveld,Coastal vegetation,78.3044,CR,PP,Coastal Terrestrial,1,T
FS4,Saldanha Limestone Strandveld,Coastal vegetation,49.5296,CR,MP,Coastal Terrestrial,1,T
FS12,Southeastern Strandveld,Semi-coastal vegetation,91.0064,EN,PP,Coastal Terrestrial,1,T
FFd11,Southern Cape Dune Fynbos,Coastal vegetation,60.0188,CR,PP,Coastal Terrestrial,1,T
FS10,Southwestern Strandveld,Semi-coastal vegetation,305.542,EN,MP,Coastal Terrestrial,1,T
FS14,St Francis Strandveld,Semi-coastal vegetation,84.9324,CR,PP,Coastal Terrestrial,1,T
FFs20,Tsitsikamma Sandstone Fynbos,Semi-coastal vegetation,1567.7116,LC,WP,Coastal Terrestrial,0,T
CB3,KwaZulu-Natal Coastal Belt Grassland,Coastal vegetation,672.314,EN,NP,Coastal Terrestrial,1,T
CB1,Maputaland Coastal Belt,Coastal vegetation,832.548,EN,MP,Coastal Terrestrial,1,T
CB2,Maputaland Wooded Grassland,Semi-coastal vegetation,401.0516,EN,MP,Coastal Terrestrial,1,T
CB4,Pondoland-Ugu Sandstone Coastal Sourveld,Coastal vegetation,641.0904,VU,PP,Coastal Terrestrial,1,T
CB5,Transkei Coastal Belt,Coastal vegetation,899.2332,EN,PP,Coastal Terrestrial,1,T
SVs8,South Eastern Coastal Thornveld,Semi-coastal vegetation,848.6824,EN,PP,Coastal Terrestrial,1,T
SKs8,Namaqualand Coastal Duneveld,Coastal vegetation,727.288,LC,MP,Coastal Terrestrial,0,T
SKs14,Namaqualand Heuweltjie Strandveld,Coastal vegetation,644.0144,LC,PP,Coastal Terrestrial,0,T
SKs9,Namaqualand Inland Duneveld,Coastal vegetation,884.7432,LC,PP,Coastal Terrestrial,0,T
SKs7,Namaqualand Strandveld,Coastal vegetation,2540.0112,LC,PP,Coastal Terrestrial,0,T
SKs2,Northern Richtersveld Yellow Duneveld,Coastal vegetation,524.9028,LC,NP,Coastal Terrestrial,0,T
SKs1,Richtersveld Coastal Duneveld,Coastal vegetation,311.0076,CR,NP,Coastal Terrestrial,1,T
SKs4,Richtersveld Sandy Coastal Scorpionstailveld,Coastal vegetation,441.4408,LC,NP,Coastal Terrestrial,0,T
SKs3,Southern Richtersveld Yellow Duneveld,Coastal vegetation,302.72,LC,NP,Coastal Terrestrial,0,T
AZs3,Subtropical Dune Thicket,Coastal vegetation,11.972,LC,WP,Coastal Terrestrial,0,T
AZd3,Cape Seashore Vegetation,Coastal vegetation,215.2172,LC,WP,Coastal Terrestrial,0,T
