I_Rlm_P,I_EcTy1,mapcode,Shap_Ar,type,zone,extent,Threat status,Protection level,realm
Estuary,Cool Temperate Estuarine Lake,CT3,260049.203968,Cool Temperate Estuarine Lake,Estuaries,70.9307671719994,Endangered,Poorly Protected,est
Estuary,Cool Temperate Small Temporarily Closed,CT9,149568.097632,Cool Temperate Small Temporarily Closed,Estuaries,5.17640367488375,Vulnerable,Moderately Protected,est
Estuary,Cool Temperate Arid Predominantly Closed,CT1,125183.143986,Cool Temperate Arid Predominantly Closed,Estuaries,14.4021165678708,Endangered,Poorly Protected,est
Estuary,Cool Temperate Estuarine Lake,CT3,2577749.31685,Cool Temperate Estuarine Lake,Estuaries,70.9307671719994,Endangered,Poorly Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,350224.897696,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Small Temporarily Closed,CT9,290246.445423,Cool Temperate Small Temporarily Closed,Estuaries,5.17640367488375,Vulnerable,Moderately Protected,est
Estuary,Cool Temperate Arid Predominantly Closed,CT1,209943.586717,Cool Temperate Arid Predominantly Closed,Estuaries,14.4021165678708,Endangered,Poorly Protected,est
Estuary,Cool Temperate Arid Predominantly Closed,CT1,32073.737405,Cool Temperate Arid Predominantly Closed,Estuaries,14.4021165678708,Endangered,Poorly Protected,est
Estuary,Cool Temperate Arid Predominantly Closed,CT1,1916.47255023,Cool Temperate Arid Predominantly Closed,Estuaries,14.4021165678708,Endangered,Poorly Protected,est
Estuary,Cool Temperate Arid Predominantly Closed,CT1,2156018.95456,Cool Temperate Arid Predominantly Closed,Estuaries,14.4021165678708,Endangered,Poorly Protected,est
Estuary,Cool Temperate Predominantly Open,CT7,17636492.4919,Cool Temperate Predominantly Open,Estuaries,152.598212237101,Endangered,Not Protected,est
Estuary,Cool Temperate Large Temporarily Closed,CT5,635456.207073,Cool Temperate Large Temporarily Closed,Estuaries,32.8391200959501,Endangered,Poorly Protected,est
