mapcode,type,zone,extent,RLE,EPL,realm
FFa3,Swartland Alluvium Fynbos,Non-coastal,136.9996,EN,PP,ter
FFd8,Breede Sand Fynbos,Non-coastal,43.4192,CR,PP,ter
FFg4,Robertson Granite Fynbos,Non-coastal,14.1344,LC,WP,ter
FFh4,Breede Shale Fynbos,Non-coastal,203.6124,EN,MP,ter
FFh7,Greyton Shale Fynbos,Non-coastal,148.176,CR,PP,ter
FFq4,Breede Quartzite Fynbos,Non-coastal,91.3208,LC,PP,ter
FFs10,Hawequas Sandstone Fynbos,Non-coastal,1008.654,LC,WP,ter
FFs13,North Sonderend Sandstone Fynbos,Non-coastal,520.876,LC,WP,ter
FFs14,South Sonderend Sandstone Fynbos,Non-coastal,333.1052,CR,WP,ter
FRa2,Swartland Alluvium Renosterveld,Non-coastal,36.5332,CR,NP,ter
FFb3,Central Inland Shale Band Vegetation,Non-coastal,97.7068,LC,WP,ter
FFh2,Matjiesfontein Shale Fynbos,Non-coastal,101.2808,LC,WP,ter
FFh3,Swartberg Shale Fynbos,Non-coastal,63.6852,LC,PP,ter
FFq3,Matjiesfontein Quartzite Fynbos,Non-coastal,1249.804,LC,PP,ter
FFs21,North Rooiberg Sandstone Fynbos,Non-coastal,318.0388,LC,WP,ter
FFs22,South Rooiberg Sandstone Fynbos,Non-coastal,385.3768,LC,WP,ter
FFs23,North Swartberg Sandstone Fynbos,Non-coastal,846.108,LC,WP,ter
FFs24,South Swartberg Sandstone Fynbos,Non-coastal,1082.2572,LC,WP,ter
FFs25,North Kammanassie Sandstone Fynbos,Non-coastal,330.9052,LC,WP,ter
FFs26,South Kammanassie Sandstone Fynbos,Non-coastal,287.084,LC,WP,ter
FFs31,Swartberg Altimontane Sandstone Fynbos,Non-coastal,50.79,LC,WP,ter
FFs32,Nardouw Sandstone Fynbos,Non-coastal,354.3128,CR,NP,ter
FFt1,Kango Conglomerate Fynbos,Non-coastal,395.7416,LC,PP,ter
FRl1,Kango Limestone Renosterveld,Non-coastal,432.6812,LC,PP,ter
FRs15,Swartberg Shale Renosterveld,Non-coastal,264.244,LC,PP,ter
FRs4,Ceres Shale Renosterveld,Non-coastal,211.3784,CR,PP,ter
FRs6,Matjiesfontein Shale Renosterveld,Non-coastal,1809.988,LC,PP,ter
FRs7,Montagu Shale Renosterveld,Non-coastal,1293.4608,LC,PP,ter
Gh1,Karoo Escarpment Grassland,Non-coastal,8138.5332,LC,WP,ter
Gh4,Besemkaree Koppies Shrubland,Non-coastal,9249.242,LC,PP,ter
Gs17,Tarkastad Montane Shrubland,Non-coastal,4170.7988,LC,PP,ter
NKb3,Bushmanland Arid Grassland,Non-coastal,40919.9956,LC,PP,ter
NKb4,Bushmanland Sandy Grassland,Non-coastal,2670.3192,LC,NP,ter
NKb6,Bushmanland Basin Shrubland,Non-coastal,40909.9712,LC,PP,ter
NKl1,Gamka Karoo,Non-coastal,20074.7364,LC,PP,ter
NKl2,Eastern Lower Karoo,Non-coastal,8164.2908,LC,MP,ter
NKu1,Western Upper Karoo,Non-coastal,16965.0208,LC,NP,ter
NKu2,Upper Karoo Hardeveld,Non-coastal,11706.3608,LC,MP,ter
NKu3,Northern Upper Karoo,Non-coastal,40004.2396,LC,NP,ter
NKu4,Eastern Upper Karoo,Non-coastal,48084.2452,LC,PP,ter
SKk3,Knersvlakte Quartz Vygieveld,Non-coastal,1298.8296,LC,WP,ter
SKs12,Namaqualand Spinescent Grassland,Non-coastal,423.524,LC,PP,ter
SKk1,Northern Knersvlakte Vygieveld,Non-coastal,1666.85,LC,MP,ter
SKk2,Central Knersvlakte Vygieveld,Non-coastal,129.1548,LC,WP,ter
SKk4,Knersvlakte Shale Vygieveld,Non-coastal,979.3724,LC,PP,ter
SKk5,Vanrhynsdorp Gannabosveld,Non-coastal,829.1768,LC,NP,ter
SKk6,Knersvlakte Dolomite Vygieveld,Non-coastal,57.032,LC,MP,ter
SKk7,Citrusdal Vygieveld,Non-coastal,130.8612,LC,PP,ter
SKk8,Piketberg Quartz Succulent Shrubland,Non-coastal,0.6144,CR,NP,ter
SKk9,Kobee Succulent Shrubland,Non-coastal,140.2268,LC,NP,ter
SKn1,Namaqualand Klipkoppe Shrubland,Non-coastal,7342.0048,LC,PP,ter
SKn3,Namaqualand Blomveld,Non-coastal,2891.024,LC,PP,ter
SKn4,Namaqualand Heuweltjieveld,Non-coastal,4581.266,LC,PP,ter
