mapcode,type,zone,extent,RLE,EPL,realm
SVl1,Makuleke Sandy Bushveld,Non-coastal,1579.2596,LC,WP,ter
SVl10,Pretoriuskop Sour Bushveld,Non-coastal,615.1964,LC,WP,ter
SVl11,Malelane Mountain Bushveld,Non-coastal,596.5872,LC,WP,ter
SVl12,Kaalrug Mountain Bushveld,Non-coastal,368.3856,LC,MP,ter
SVl13,Barberton Serpentine Sourveld,Non-coastal,72.4612,LC,WP,ter
SVl14,Swaziland Sour Bushveld,Non-coastal,3420.6212,LC,WP,ter
SVl15,Northern Lebombo Bushveld,Non-coastal,1334.5932,LC,WP,ter
SVl16,Southern Lebombo Bushveld,Non-coastal,2251.9056,LC,MP,ter
SVl17,Lebombo Summit Sourveld,Non-coastal,42.6524,EN,NP,ter
SVl18,Tembe Sandy Bushveld,Non-coastal,865.0132,LC,MP,ter
SVl19,Western Maputaland Sandy Bushveld,Non-coastal,80.776,CR,MP,ter
SVl2,Nwambyia-Pumbe Sandy Bushveld,Non-coastal,181.6164,LC,WP,ter
SVl20,Western Maputaland Clay Bushveld,Non-coastal,648.648,EN,MP,ter
SVl21,Makatini Clay Thicket,Non-coastal,268.5708,LC,WP,ter
SVl22,Northern Zululand Sourveld,Non-coastal,3681.678,LC,MP,ter
SVl23,Zululand Lowveld,Non-coastal,5704.3004,LC,WP,ter
SVl24,Zululand Coastal Thornveld,Non-coastal,182.28,CR,NP,ter
SVl25,Maputaland Pallid Sandy Bushveld,Non-coastal,472.9328,LC,MP,ter
SVl26,Muzi Palm Veld and Wooded Grassland,Non-coastal,510.344,CR,PP,ter
SVl27,Crocodile Gorge Mountain Bushveld,Non-coastal,426.688,LC,MP,ter
SVl3,Granite Lowveld,Non-coastal,14882.14,LC,WP,ter
SVl4,Delagoa Lowveld,Non-coastal,1968.0536,LC,WP,ter
SVl5,Tshokwane-Hlane Basalt Lowveld,Non-coastal,2975.3692,LC,WP,ter
SVl6,Gabbro Grassy Bushveld,Non-coastal,757.7016,LC,WP,ter
SVl7,Gravelotte Rocky Bushveld,Non-coastal,286.2132,LC,MP,ter
SVl8,Tzaneen Sour Bushveld,Non-coastal,1748.3556,EN,PP,ter
SVl9,Legogote Sour Bushveld,Non-coastal,1115.6136,EN,PP,ter
SVmp1,Musina Mopane Bushveld,Non-coastal,8133.022,LC,MP,ter
SVmp2,Limpopo Ridge Bushveld,Non-coastal,2718.2392,LC,WP,ter
SVmp3,Cathedral Mopane Bushveld,Non-coastal,276.878,LC,WP,ter
SVmp4,Mopane Basalt Shrubland,Non-coastal,2800.2144,LC,WP,ter
SVmp5,Tsende Mopaneveld,Non-coastal,4722.0828,LC,WP,ter
SVmp6,Lowveld Rugged Mopaneveld,Non-coastal,2431.4684,LC,WP,ter
SVmp7,Phalaborwa-Timbavati Mopaneveld,Non-coastal,2027.626,LC,WP,ter
SVmp8,Mopane Gabbro Shrubland,Non-coastal,310.2836,LC,WP,ter
SVs1,Thukela Valley Bushveld,Non-coastal,1972.284,LC,NP,ter
SVs2,Thukela Thornveld,Non-coastal,1631.75,LC,PP,ter
SVs3,KwaZulu-Natal Hinterland Thornveld,Non-coastal,1014.296,LC,PP,ter
SVcb29,Central Sandy Mountain Bushveld,Non-coastal,373.6608,LC,WP,ter
SVcb4,Dwarsberg-Swartruggens Mountain Bushveld,Non-coastal,3661.8716,LC,PP,ter
Gh13,Klerksdorp Thornveld,Non-coastal,2123.7648,LC,PP,ter
SVcb5,Pilanesberg Mountain Bushveld,Non-coastal,359.8116,LC,WP,ter
Gh14,Western Highveld Sandy Grassland,Non-coastal,3675.5048,EN,NP,ter
SVcb3,Zeerust Thornveld,Non-coastal,889.586,LC,PP,ter
Gm2,Senqu Montane Shrubland,Non-coastal,2818.7752,LC,NP,ter
SVk3,Schweizer-Reneke Bushveld,Non-coastal,576.2632,VU,PP,ter
SwI1,Agulhas Basin Abyss,Non-coastal,56942.810860365,LC,PP,marine
SwI2,Agulhas Basin Complex Abyss,Non-coastal,3748.37724314446,LC,NP,marine
Ags3,Agulhas Blues,Non-coastal,8379.64577534558,NT,NP,marine
Ags4,Agulhas Coarse Sediment Shelf Edge,Non-coastal,3990.51122860643,VU,NP,marine
SwI3,Agulhas Lower Canyon,Non-coastal,1152.52390228667,LC,MP,marine
Ags8,Agulhas Mid Shelf Mosaic,Non-coastal,3632.55998927126,NT,MP,marine
Ags7,Agulhas Mid Shelf Reef,Non-coastal,51.8875901479681,VU,PP,marine
Ags10,Agulhas Muddy Outer Shelf,Non-coastal,1278.0487674512,NT,PP,marine
SwI4,Agulhas Plateau,Non-coastal,5469.13037551092,LC,MP,marine
Bc2,Agulhas Retroflection and South Ocean Transitional Water,Non-coastal,98084.7628768811,LC,NP,marine
Ags14,Agulhas Rocky Outer Shelf,Non-coastal,4214.82119883301,LC,WP,marine
SwI5,Agulhas Rocky Plateau,Non-coastal,8592.86430790231,LC,MP,marine
Ags15,Agulhas Rocky Shelf Edge,Non-coastal,5232.98060109642,LC,MP,marine
Ags17,Agulhas Sandy Mid Shelf,Non-coastal,20233.0888154781,NT,PP,marine
Ags18,Agulhas Sandy Outer Shelf,Non-coastal,7058.5123582321,NT,PP,marine
Ags19,Agulhas Upper Canyon,Non-coastal,101.993641538527,LC,MP,marine
Ags20,Alphard Bank,Non-coastal,31.8615057019809,LC,WP,marine
Ags21,Amathole Hard Shelf Edge,Non-coastal,468.735966369063,NT,MP,marine
Ntl2,Amathole Lace Corals,Non-coastal,131.635631094592,LC,PP,marine
SoB11,Browns Bank Rocky Shelf Edge,Non-coastal,2164.06348441316,CR,PP,marine
SeA1,Cape Basin Abyss,Non-coastal,57854.9605379709,LC,PP,marine
SeA2,Cape Basin Complex Abyss,Non-coastal,73071.0038086917,LC,PP,marine
SoB1,Cape Lower Canyon,Non-coastal,2838.07730038375,EN,NP,marine
Cpe3,Cape Rocky Mid Shelf Mosaic,Non-coastal,3904.94948298784,VU,PP,marine
SoB2,Cape Upper Canyon,Non-coastal,2394.81872120074,EN,PP,marine
Ags11,Central Agulhas Outer Shelf Mosaic,Non-coastal,2452.94266352652,LC,MP,marine
SoB3,Childs Bank Coral,Non-coastal,505.477531383285,VU,MP,marine
SoB4,Childs Bank Plateau,Non-coastal,1620.27639447407,LC,WP,marine
Ba1,Cold Southeast Atlantic Water,Non-coastal,9525.99325742229,LC,NP,marine
Dlg1,Delagoa Deep Shelf Edge,Non-coastal,605.364337503834,LC,WP,marine
Dlg2,Delagoa Lower Canyon,Non-coastal,3.26935743049247,LC,WP,marine
Dlg3,Delagoa Rocky Mid Shelf,Non-coastal,22.9897245766035,LC,WP,marine
Dlg5,Delagoa Sandy Mid Shelf,Non-coastal,274.196272726062,LC,WP,marine
Dlg6,Delagoa Shelf Edge,Non-coastal,189.793567647057,LC,WP,marine
Dlg7,Delagoa Upper Canyon,Non-coastal,43.9627070201745,LC,WP,marine
Ags12,Eastern Agulhas Outer Shelf Mosaic,Non-coastal,25966.2287160908,LC,PP,marine
Cb4,Indian Ocean Frontal Margin Water,Non-coastal,30552.9555989413,LC,PP,marine
Bc1,Indian Ocean Frontal Water,Non-coastal,143707.668995447,LC,PP,marine
Ags24,Kingklip Koppies,Non-coastal,642.858643446311,NT,NP,marine
SwI7,Kingklip Ridge,Non-coastal,103.590412382089,EN,MP,marine
Ntl4,Natal Deep Shelf Edge,Non-coastal,1377.22208854261,LC,MP,marine
Ntl7,Natal Lower Canyon,Non-coastal,1308.25045777874,LC,MP,marine
Ntl9,Natal Upper Canyon,Non-coastal,256.190865736934,LC,WP,marine
Ntl16,Protea Mid Shelf Reef Complex,Non-coastal,15.5395334303534,EN,MP,marine
Ab3,South Atlantic Productive Margin Water,Non-coastal,27747.3473158703,VU,PP,marine
Bb2,South Atlantic-Benguela Transitional Waters,Non-coastal,63591.6609561783,LC,NP,marine
SeA3,Southeast Atlantic Lower Slope,Non-coastal,86412.8879522145,LC,NP,marine
SeA4,Southeast Atlantic Mid Slope,Non-coastal,18140.1341054933,LC,NP,marine
SeA5,Southeast Atlantic Seamount,Non-coastal,1576.25073288586,LC,WP,marine
SeA6,Southeast Atlantic Slope Seamount,Non-coastal,887.913638748351,LC,WP,marine
SeA7,Southeast Atlantic Upper Slope,Non-coastal,15242.0935369506,LC,PP,marine
SoB6,Southern Benguela Muddy Outer Shelf Mosaic,Non-coastal,5574.43236684411,LC,NP,marine
SoB8,Southern Benguela Muddy Shelf Edge,Non-coastal,814.044755511982,EN,PP,marine
SoB9,Southern Benguela Outer Shelf Mosaic,Non-coastal,19508.7097186023,LC,NP,marine
SoB10,Southern Benguela Rocky Shelf Edge,Non-coastal,2380.68802149114,VU,PP,marine
SoB12,Southern Benguela Sandy Outer Shelf,Non-coastal,36057.0725766166,LC,PP,marine
SoB13,Southern Benguela Sandy Shelf Edge,Non-coastal,7397.87066782645,VU,PP,marine
SoB5,Southern Benguela Shelf Edge Mosaic,Non-coastal,2181.79251150682,LC,NP,marine
Ntl6,Southern KZN Mid Shelf Mosaic,Non-coastal,989.630326080083,EN,MP,marine
Ntl8,Southern KZN Shelf Edge Mosaic,Non-coastal,669.562722421381,NT,WP,marine
SwI10,Southwest Indian Lower Slope,Non-coastal,197988.126366343,LC,NP,marine
SwI11,Southwest Indian Mid Slope,Non-coastal,78270.7167705021,LC,PP,marine
SwI12,Southwest Indian Seamount,Non-coastal,2072.41259062144,LC,WP,marine
SwI13,Southwest Indian Slope Seamount,Non-coastal,1614.36086629061,LC,NP,marine
SwI14,Southwest Indian Upper Slope,Non-coastal,17527.1727092983,LC,MP,marine
Dlg11,St Lucia Mid Shelf Mosaic,Non-coastal,4.76019267807473,LC,WP,marine
Cb1,Stable Agulhas Current Water,Non-coastal,14407.2212832057,LC,WP,marine
Ca2,Stable Indian Ocean Water,Non-coastal,59193.7305023398,LC,NP,marine
Bb1,Stable Southeast Atlantic Water,Non-coastal,71745.1448397762,LC,NP,marine
SwI9,Transkei Basin Abyss,Non-coastal,210710.39744288,LC,NP,marine
Cb3,Upwelled Agulhas Current Margin Water,Non-coastal,6831.86742960935,VU,PP,marine
Cb2,Variable Agulhas current core,Non-coastal,21217.0919114643,LC,PP,marine
Ba2,Variable Indo-Atlantic Water,Non-coastal,125467.44336544,LC,PP,marine
Ca1,Warm Stable Indian Ocean Water,Non-coastal,169872.242678316,LC,PP,marine
Ags13,Western Agulhas Outer Shelf Mosaic,Non-coastal,2786.45386084413,VU,NP,marine
Ntl11,Wild Coast Mid Shelf Mosaic,Non-coastal,2385.88902667652,LC,MP,marine
Ntl12,Wild Coast Shelf Edge Mosaic,Non-coastal,1435.23586282032,LC,MP,marine
SwI15,uThukela Canyon,Non-coastal,417.805734816642,LC,NP,marine
