"zone","Natural","Near-natural","Moderately modified","Heavily modified","Severely modified","Critically modified","metric"
"Depression",1396.16842961016,5069.74835226582,768.145259885526,186.569615005317,127.019613924364,105.745322618049,"extent"
"Floodplain",1706.11855075023,2801.13387989797,5132.37232421981,2758.68679445184,1214.91183719739,104.974824083146,"extent"
"Seep",1093.858229788,596.540803219894,1326.99186674891,922.732182095792,849.862716361735,163.851229754332,"extent"
"Unchannelled valley-bottom",1193.14568126206,908.892246656645,855.737331953195,361.185327841519,232.118802298781,30.3091311515429,"extent"
"Depression",18.2424680674555,66.2418089858025,10.0366582408268,2.43773614408562,1.65965022687321,1.38167833495646,"percent"
"Floodplain",12.4368996901639,20.4191092510492,37.412874820936,20.1096875267492,8.85620559308292,0.765223118018729,"percent"
"Seep",22.0810297878641,12.0419949193304,26.7871522469734,18.6266156291815,17.1556454433913,3.30756197325934,"percent"
"Unchannelled valley-bottom",33.3151701975735,25.3782085156544,23.8940100158452,10.0850640947538,6.48125164100754,0.846295535165624,"percent"
