,type,zone,RLE18,RLE24,type24_m2,extent,EPL18,EPL24,RLE_EPL24
58,Northwest Fynbos_Seep,Seep,EN,EN,36328078.28,36.32807828,MP,MP,EN_MP
59,Northwest Fynbos_Unchannelled valley-bottom,Unchannelled valley-bottom,EN,EN,6879912.951,6.879912951,PP,PP,EN_PP
60,Pondoland Coastal Belt_Floodplain,Floodplain,LC,LC,3779961.171,3.779961171,NP,NP,LC_NP
61,Pondoland Coastal Belt_Seep,Seep,EN,LC,15336763.6,15.3367636,NP,NP,LC_NP
62,Pondoland Coastal Belt_Unchannelled valley-bottom,Unchannelled valley-bottom,LC,LC,4842956.74,4.84295674,PP,PP,LC_PP
63,Southern Fynbos_Depression,Depression,EN,VU,15009819.04,15.00981904,WP,WP,VU_WP
64,Southern Fynbos_Floodplain,Floodplain,VU,VU,235922196,235.922196,PP,PP,VU_PP
65,Southern Fynbos_Seep,Seep,LC,LC,111133895.1,111.1338951,MP,MP,LC_MP
66,Southern Fynbos_Unchannelled valley-bottom,Unchannelled valley-bottom,VU,VU,23725013,23.725013,PP,PP,VU_PP
67,Southwest Fynbos_Depression,Depression,LC,LC,6997578.431,6.997578431,WP,WP,LC_WP
68,Southwest Fynbos_Floodplain,Floodplain,VU,VU,354072715.1,354.0727151,PP,PP,VU_PP
69,Southwest Fynbos_Seep,Seep,VU,VU,201791862.9,201.7918629,WP,WP,VU_WP
70,Southwest Fynbos_Unchannelled valley-bottom,Unchannelled valley-bottom,EN,EN,13812182.75,13.81218275,PP,PP,EN_PP
71,Sub-Escarpment Grassland_Depression,Depression,EN,EN,46029578.65,46.02957865,PP,PP,EN_PP
72,Sub-escarpment Grassland_Floodplain,Floodplain,VU,VU,1225375949,1225.375949,PP,PP,VU_PP
73,Sub-escarpment Grassland_Seep,Seep,VU,VU,1356158796,1356.158796,NP,NP,VU_NP
74,Sub-escarpment Grassland_Unchannelled valley-bottom,Unchannelled valley-bottom,LC,LC,272549612,272.549612,PP,PP,LC_PP
75,Sub-escarpment Savanna_Depression,Depression,EN,VU,3854902.241,3.854902241,NP,NP,VU_NP
76,Sub-escarpment Savanna_Floodplain,Floodplain,VU,VU,172386949.4,172.3869494,NP,NP,VU_NP
77,Sub-escarpment Savanna_Seep,Seep,VU,VU,191471317.6,191.4713176,NP,NP,VU_NP
78,Sub-escarpment Savanna_Unchannelled valley-bottom,Unchannelled valley-bottom,EN,EN,19174152.74,19.17415274,NP,NP,EN_NP
79,West Coast_Depression,Depression,CR,CR,17938683.62,17.93868362,PP,PP,CR_PP
80,West Coast_Floodplain,Floodplain,EN,EN,198496678.5,198.4966785,PP,PP,EN_PP
81,West Coast_Seep,Seep,EN,EN,33102530.16,33.10253016,PP,NP,EN_NP
82,West Coast_Unchannelled valley-bottom,Unchannelled valley-bottom,EN,EN,5691066.691,5.691066691,NP,NP,EN_NP
