"zone","Well Protected","Moderately Protected","Poorly Protected","Not Protected","metric"
"Lower foothill",4,6,32,16,"count"
"Lowland river",2,10,16,21,"count"
"Mountain stream",8,14,23,11,"count"
"Upper foothill",3,5,33,18,"count"
"Lower foothill",2158.05080141335,5947.07665581383,41674.8755366519,25347.1226950454,"extent"
"Lowland river",101.684075773713,1611.50719268033,16889.8216554234,2399.54768162389,"extent"
"Mountain stream",1489.35327281486,1721.41400292357,3214.18888636174,396.256354110067,"extent"
"Upper foothill",1581.85710225717,3017.45310677044,54151.2794207211,17822.2499043179,"extent"
